Stad.;Country;Country new;Population;Reinforcements;Income;Port;Extra;rein new;Stad.,Land,Populatie,Versterkingen,Inkomen,Haven,Extra,
Rochester;USA: New York;USA;1067486;1;22;X;X;;Rochester,USA: New York,1067486,1,22,X,X,
Rocket Lab Launch Complex;New Zealand;;1400000;4;20;;X;;Rocket Lab Launch Complex,New Zealand,1400000,4,20,,X,
Rodrigues Islands;Mauritius;;41669;1;11;X;;;Rodrigues Islands,Mauritius,41669,1,11,X,,
Rogachevo air base;Russia: Central;;300;3;11;;;;Rogachevo air base,Russia: Central,300,3,11,,,
Rome;Italy;;4342212;10;189;;;;Rome,Italy,4342212,10,189,,,
Rosario;Argentina;;1173533;7;41;;X;;Rosario,Argentina,1173533,7,41,,X,
Roseau;Dominica;;14725;1;11;X;X;;Roseau,Dominica,14725,1,11,X,X,
Rostock;Germany;;209061;8;11;X;;;Rostock,Germany,209061,8,11,X,,
Rostov-na-Donu;Russia: South;;1068267;8;81;X;;;Rostov-na-Donu,Russia: South,1068267,8,81,X,,
Rotterdam;Netherlands;;650000;10;180;X;;;Rotterdam,Netherlands,650000,10,180,X,,
Rotuma;Fiji;;1594;1;11;;;;Rotuma,Fiji,1594,1,11,,,
Rovaniemi;Finland;;34781;5;11;;;;Rovaniemi,Finland,34781,5,11,,,
Roxas;Philippines;;148000;4;11;X;;;Roxas,Philippines,148000,4,11,X,,
Royal Airforce base Phitsanulok;Thailand;;3500;10;11;;;;Royal Airforce base Phitsanulok,Thailand,3500,10,11,,,
Royal Airforce base Takhli;Thailand;;1500;10;11;;;;Royal Airforce base Takhli,Thailand,1500,10,11,,,
Royal Thai Fleet Headquarters;Thailand;;3500;10;11;;;;Royal Thai Fleet Headquarters,Thailand,3500,10,11,,,
Rundu;Namibia;;58172;1;11;;;;Rundu,Namibia,58172,1,11,,,
Ruse;Bulgaria;;156238;6;11;;;;Ruse,Bulgaria,156238,6,11,,,
Réunion;France;;859958;3;42;X;;;Réunion,France,859958,3,42,X,,
Röjdykar military base;Sweden;;3500000;10;11;X;;;Röjdykar military base,Sweden,3500000,10,11,X,,
Rūdninkai Military base;Germany;;2000;8;11;;;;Rūdninkai Military base,Germany,2000,8,11,,,
Sa Pa;Vietnam;;138622;8;11;;;;Sa Pa,Vietnam,138622,8,11,,,
Sa'dah;Yemen;;51870;8;11;;;;Sa'dah,Yemen,51870,8,11,,,
Saatli;Azerbaijan;;87000;5;11;;;;Saatli,Azerbaijan,87000,5,11,,,
Saba;Netherlands;;1933;6;11;X;;;Saba,Netherlands,1933,6,11,X,,
Sabha & Al Jadid;Libya;;256000;2;11;;;;Sabha & Al Jadid,Libya,256000,2,11,,,
Sacramento;USA: California;USA;2397382;6;174;;;;Sacramento,USA: California,2397382,6,174,,,
Saint Barthélemy;France;;9961;1;8;X;;;Saint Barthélemy,France,9961,1,8,X,,
Saint George's;Grenada;;33734;1;16;X;X;;Saint George's,Grenada,33734,1,16,X,X,
Saint Helena;United Kingdom;;5661;1;11;X;;;Saint Helena,United Kingdom,5661,1,11,X,,
Saint Louis;Senegal;;209752;2;9;X;;;Saint Louis,Senegal,209752,2,9,X,,
Saint Martin;France;;31791;2;11;X;;;Saint Martin,France,31791,2,11,X,,
Saint Pierre and Miquelon;France;;6092;2;11;X;;;Saint Pierre and Miquelon,France,6092,2,11,X,,
Saint-Paul Islands;USA: Alaska;USA;100;1;11;X;;;Saint-Paul Islands,USA: Alaska,100,1,11,X,,
Saipan;USA: Northern Mariana Islands;USA;47565;6;77;X;;;Saipan,USA: Northern Mariana Islands,47565,6,77,X,,
Sala y Gómez;Chile;;1;1;11;X;;;Sala y Gómez,Chile,1,1,11,X,,
Salah al-Din;Iran;;1000;4;11;;;;Salah al-Din,Iran,1000,4,11,,,
Salalah;Oman;;178469;6;12;X;X;;Salalah,Oman,178469,6,12,X,X,
Salamis Naval Base;Greece;;5000;6;11;X;;;Salamis Naval Base,Greece,5000,6,11,X,,
Salekhard;Russia: Nenetsia East;;42544;2;32;;X;;Salekhard,Russia: Nenetsia East,42544,2,32,,X,
Salem;USA: Oregon;USA;400408;1;11;;;;Salem,USA: Oregon,400408,1,11,,,
Salt Lake City;USA: Utah;USA;1257936;1;51;;;;Salt Lake City,USA: Utah,1257936,1,51,,,
Salto;Uruguay;;99823;3;11;;;;Salto,Uruguay,99823,3,11,,,
Salvador;Brazil: Northeast;;2948733;6;63;X;;;Salvador,Brazil: Northeast,2948733,6,63,X,,
Salzburg;Austria;;153377;7;11;;;;Salzburg,Austria,153377,7,11,,,
Samara;Russia: Volga;;1157880;3;51;X;X;;Samara,Russia: Volga,1157880,3,51,X,X,
Samarkand;Uzbekistan;;708000;7;12;;;;Samarkand,Uzbekistan,708000,7,12,,,
Samsun;Türkiye;;467828;2;7;X;X;;Samsun,Türkiye,467828,2,7,X,X,
San Antonio;USA: Texas;USA;2558143;7;72;;;;San Antonio,USA: Texas,2558143,7,72,,,
San Carlos de Bariloche;Argentina;;122700;5;11;;;;San Carlos de Bariloche,Argentina,122700,5,11,,,
San Diego;USA: California;USA;3298634;8;125;X;;;San Diego,USA: California,3298634,8,125,X,,
San Francisco;USA: California;USA;4749008;8;172;X;;;San Francisco,USA: California,4749008,8,172,X,,
San Jose;Costa Rica;;346799;2;70;;;;San Jose,Costa Rica,346799,2,70,,,
San Juan;USA: Puerto Rico;USA;434374;3;121;X;;;San Juan,USA: Puerto Rico,434374,3,121,X,,
San Marino;Republic San Marino;;33660;1;80;X;;;San Marino,Republic San Marino,33660,1,80,X,,
San Miguel;El Salvador;;161242;2;11;;;;San Miguel,El Salvador,161242,2,11,,,
San Miguel de Tucuman;Argentina;;781023;5;11;;;;San Miguel de Tucuman,Argentina,781023,5,11,,,
San Pedro Sula;Honduras;;1187000;4;21;;X;;San Pedro Sula,Honduras,1187000,4,21,,X,
San Salvador;El Salvador;;1566629;4;66;;;;San Salvador,El Salvador,1566629,4,66,,,
Sanaa;Yemen;;2037627;7;49;;;;Sanaa,Yemen,2037627,7,49,,,
Sandakan;Malaysia;;392288;4;11;X;;;Sandakan,Malaysia,392288,4,11,X,,
Sanming city;China: Fujian;;2486450;4;11;;;;Sanming city,China: Fujian,2486450,4,11,,,
Sansha Yongxing Airport;China: Hebei;;2000;8;11;;;;Sansha Yongxing Airport,China: Hebei,2000,8,11,,,
Santa Clara;Cuba;;250512;6;11;;;;Santa Clara,Cuba,250512,6,11,,,
Santa Cruz de Tenerife;Spain;;10000;1;11;X;;;Santa Cruz de Tenerife,Spain,10000,1,11,X,,
Santa Cruz de la Palma;Spain;;500;1;11;X;;;Santa Cruz de la Palma,Spain,500,1,11,X,,
Santa Cruz de la Sierra;Bolivia;;1424120;8;31;;;;Santa Cruz de la Sierra,Bolivia,1424120,8,31,,,
Santa Fe;USA: New Mexico;USA;144170;3;4;;;;Santa Fe,USA: New Mexico,144170,3,4,,,
Santarem;Brazil: Amazon;;331937;2;31;X;X;;Santarem,Brazil: Amazon,331937,2,31,X,X,
Santiago;Chile;;5428590;10;232;;;;Santiago,Chile,5428590,10,232,,,
Santiago de Cuba;Cuba;;555337;7;23;X;;;Santiago de Cuba,Cuba,555337,7,23,X,,
Santiago de los Caballeros;Dominican Republic;;1200000;2;11;;;;Santiago de los Caballeros,Dominican Republic,1200000,2,11,,,
Santo Domingo;Dominican Republic;;2084852;3;101;X;;;Santo Domingo,Dominican Republic,2084852,3,101,X,,
Santo Domingo de los Colorados;Ecuador;;200421;4;11;;;;Santo Domingo de los Colorados,Ecuador,200421,4,11,,,
Sao Paulo;Brazil: Southeast;;10990249;6;204;X;;;Sao Paulo,Brazil: Southeast,10990249,6,204,X,,
Sapporo;Japan;;1896704;5;169;X;;;Sapporo,Japan,1896704,5,169,X,,
Sarajevo;Bosnia and Herzegovina;;696865;4;35;;;;Sarajevo,Bosnia and Herzegovina,696865,4,35,,,
Sarh;Chad;;102528;2;11;;;;Sarh,Chad,102528,2,11,,,
Sark;Crown Dependencies;;20000;1;20;X;;;Sark,Crown Dependencies,20000,1,20,X,,
Saskatoon;Canada: Saskatchewan;;317480;3;22;;;;Saskatoon,Canada: Saskatchewan,317480,3,22,,,
Satish Dhawan Space Centre;India: South;India;1400000;7;20;;X;;Satish Dhawan Space Centre,India: South,1400000,7,20,,X,
Savannakhet;Laos;;66553;2;11;;;;Savannakhet,Laos,66553,2,11,,,
Sealand;The Principality of Sealand;;1;1;8;X;;;Sealand,The Principality of Sealand,1,1,8,X,,
Seattle;USA: Washington;USA;4018762;8;150;X;;;Seattle,USA: Washington,4018762,8,150,X,,
Selvagens Islands;Portugal;;1;4;11;X;;;Selvagens Islands,Portugal,1,4,11,X,,
Semarang;Indonesia;;1134700;5;21;X;X;;Semarang,Indonesia,1134700,5,21,X,X,
Sembawang Air Base;Singapore;;3500;10;11;;;;Sembawang Air Base,Singapore,3500,10,11,,,
Sendai;Japan;;1100000;6;11;X;;;Sendai,Japan,1100000,6,11,X,,
Sentinel Island;India: South;India;400;1;11;;;;Sentinel Island,India: South,400,1,11,,,
Seoul;South Korea;;12421782;10;371;X;;;Seoul,South Korea,12421782,10,371,X,,
Sevastopol;Russia: South;;443221;10;11;X;;;Sevastopol,Russia: South,443221,10,11,X,,
Severodvinsk naval base;Russia: Central;;1500;3;11;X;;;Severodvinsk naval base,Russia: Central,1500,3,11,X,,
Seville;Spain;;1519639;8;37;;;;Seville,Spain,1519639,8,37,,,
Sfax;Tunisia;;277278;8;17;X;;;Sfax,Tunisia,277278,8,17,X,,
Shahbaz Jacobabad Airbase;Pakistan;;2000;7;11;;;;Shahbaz Jacobabad Airbase,Pakistan,2000,7,11,,,
Shanghai;China: Jiangsu;;33654149;10;336;X;;;Shanghai,China: Jiangsu,33654149,10,336,X,,
Sharm El Sheikh;Egypt;;14210;6;11;X;;;Sharm El Sheikh,Egypt,14210,6,11,X,,
Shenyang;China: Liaoning;;5681000;7;110;;;;Shenyang,China: Liaoning,5681000,7,110,,,
Shigatse;China: Tibet;;798153;3;23;;X;;Shigatse,China: Tibet,798153,3,23,,X,
Shigatse Air Base;China: Hebei;;3000;10;11;;;;Shigatse Air Base,China: Hebei,3000,10,11,,,
Shijiazhuang;China: Hebei;;5108000;7;11;;;;Shijiazhuang,China: Hebei,5108000,7,11,,,
Shiraz;Iran;;1204882;6;18;;X;;Shiraz,Iran,1204882,6,18,,X,
Shkoder;Albania;;88245;5;11;;;;Shkoder,Albania,88245,5,11,,,
Shymkent;Kazakhstan;;414032;6;11;;;;Shymkent,Kazakhstan,414032,6,11,,,
Siauliai;Lithuania;;130587;3;11;;;;Siauliai,Lithuania,130587,3,11,,,
Sihanoukville;Cambodia;;156691;3;11;X;;;Sihanoukville,Cambodia,156691,3,11,X,,
Sikasso;Mali;;144786;2;11;;;;Sikasso,Mali,144786,2,11,,,
Simushir;Russia: Kuril Islands;;350000;1;12;X;X;;Simushir,Russia: Kuril Islands,350000,1,12,X,X,
Singapore;Singapore;;4839400;10;300;X;;;Singapore,Singapore,4839400,10,300,X,,
Sinop Naval Base;Türkiye;;2000;3;11;X;;;Sinop Naval Base,Türkiye,2000,3,11,X,,
Sint Eustatius;Netherlands;;3138;6;11;X;;;Sint Eustatius,Netherlands,3138,6,11,X,,
Sint Maarten;Netherlands;;42938;6;11;X;;;Sint Maarten,Netherlands,42938,6,11,X,,
Sinuiju;North Korea;;288000;8;11;;;;Sinuiju,North Korea,288000,8,11,,,
Sioux Falls;USA: South Dakota;USA;276730;1;9;;X;;Sioux Falls,USA: South Dakota,276730,1,9,,X,
Sittang Camp;United Kingdom;;500;4;11;;;;Sittang Camp,United Kingdom,500,4,11,,,
Sittwe;Myanmar;;177743;6;11;X;;;Sittwe,Myanmar,177743,6,11,X,,
Sittwe Naval base;India: Central;India;1500;8;11;;;;Sittwe Naval base,India: Central,1500,8,11,,,
Siwa;Egypt;;32741;5;11;;;;Siwa,Egypt,32741,5,11,,,
Skopje;North-Macedonia;;636926;5;13;;X;;Skopje,North-Macedonia,636926,5,13,,X,
Smolensk;Russia: Central;;325137;5;12;;;;Smolensk,Russia: Central,325137,5,12,,,
Sochi;Russia: South;;328809;6;25;X;X;;Sochi,Russia: South,328809,6,25,X,X,
Socotra Military base;United Arab Emirates;;1000;7;11;X;;;Socotra Military base,United Arab Emirates,1000,7,11,X,,
Sofia;Bulgaria;;1262602;10;57;;;;Sofia,Bulgaria,1262602,10,57,,,
Sohae Satellite launching statio;North Korea;;1400000;9;20;;X;;Sohae Satellite launching statio,North Korea,1400000,9,20,,X,
Sohar;Oman;;108274;7;11;X;;;Sohar,Oman,108274,7,11,X,,
Sokoto;Nigeria;;427760;8;11;;;;Sokoto,Nigeria,427760,8,11,,,
Soto Cano Air Base;USA: Virginia;USA;1000;2;11;;;;Soto Cano Air Base,USA: Virginia,1000,2,11,,,
Souda Bay Naval base;Greece;;3000;7;11;X;;;Souda Bay Naval base,Greece,3000,7,11,X,,
Sousse;Tunisia;;164123;6;11;X;;;Sousse,Tunisia,164123,6,11,X,,
South Georgia & Sandwich Isles;United Kingdom;;22;1;9;X;;;South Georgia & Sandwich Isles,United Kingdom,22,1,9,X,,
Southern Airbases;Russia: Central;;3000;5;11;;;;Southern Airbases,Russia: Central,3000,5,11,,,
Southern Israeli Military bases;Israel;;6000;10;11;X;;;Southern Israeli Military bases,Israel,6000,10,11,X,,
Southern Theather Command HQ;China: Hebei;;3000;10;11;;;;Southern Theather Command HQ,China: Hebei,3000,10,11,,,
Sovetskiy air base;Russia: Central;;1000;4;11;;;;Sovetskiy air base,Russia: Central,1000,4,11,,,
Spencer Mansion;USA: Missouri;USA;5;2;30;;;;Spencer Mansion,USA: Missouri,5,2,30,,,
Split;Croatia;;221456;6;16;X;;;Split,Croatia,221456,6,16,X,,
Spokane;USA: Washington;USA;585784;2;22;;X;;Spokane,USA: Washington,585784,2,22,,X,
Springfield;USA: Illinois;USA;211752;3;6;;;;Springfield,USA: Illinois,211752,3,6,,,
St Petersburg;Russia: St. Petersburg;;5351935;8;244;X;;;St Petersburg,Russia: St. Petersburg,5351935,8,244,X,,
St. George;USA: Utah;USA;180279;1;7;;X;;St. George,USA: Utah,180279,1,7,,X,
St. John's;Antigua and Barbuda;;22219;1;27;X;X;;St. John's,Antigua and Barbuda,22219,1,27,X,X,
St. John's;Canada: Quebec;;181113;1;14;X;;;St. John's,Canada: Quebec,181113,1,14,X,,
St. Louis;USA: Missouri;USA;2807338;1;48;X;;;St. Louis,USA: Missouri,2807338,1,48,X,,
St. Paul;USA: Minnesota;USA;311527;1;9;X;;;St. Paul,USA: Minnesota,311527,1,9,X,,
St. Petersburg Military bases;Russia: Central;;1500;8;11;;;;St. Petersburg Military bases,Russia: Central,1500,8,11,,,
Stara Zagora;Bulgaria;;143431;6;11;;;;Stara Zagora,Bulgaria,143431,6,11,,,
Stavanger;Norway;;121610;7;11;X;;;Stavanger,Norway,121610,7,11,X,,
Stockholm;Sweden;;1572565;10;168;X;;;Stockholm,Sweden,1572565,10,168,X,,
Stuttgart;Germany;;610458;8;180;;;;Stuttgart,Germany,610458,8,180,,,
Subi Reef Outpost;China: Hebei;;600;3;11;;;;Subi Reef Outpost,China: Hebei,600,3,11,,,
Sucre;Bolivia;;390000;4;19;;X;;Sucre,Bolivia,390000,4,19,,X,
Suez;Egypt;;637000;7;17;X;X;;Suez,Egypt,637000,7,17,X,X,
Sukhumi;Abkhazia;;81439;6;40;X;;;Sukhumi,Abkhazia,81439,6,40,X,,
Sumqayit;Azerbaijan;;265150;7;11;X;;;Sumqayit,Azerbaijan,265150,7,11,X,,
Sumy;Ukraine;;256252;8;11;;;;Sumy,Ukraine,256252,8,11,,,
Sunch'on;North Korea;;437000;8;11;;;;Sunch'on,North Korea,437000,8,11,,,
Surabaya;Indonesia;;2729300;8;40;X;;;Surabaya,Indonesia,2729300,8,40,X,,
Surat;India: South West;India;3124249;8;49;;X;;Surat,India: South West,3124249,8,49,,X,
Surat Thani;Thailand;;132040;8;41;X;X;;Surat Thani,Thailand,132040,8,41,X,X,
Suva;Fiji;;77366;2;18;X;;;Suva,Fiji,77366,2,18,X,,
Suwalki;Poland;;69639;10;11;;;;Suwalki,Poland,69639,10,11,,,
Svalbard;Norway;;3500;4;30;;;;Svalbard,Norway,3500,4,30,,,
Sydney;Australia: NSW;;4336374;6;235;X;;;Sydney,Australia: NSW,4336374,6,235,X,,
Szczecin;Poland;;407811;8;11;;;;Szczecin,Poland,407811,8,11,,,
Szeged;Hungary;;164883;8;11;;;;Szeged,Hungary,164883,8,11,,,
Szekesfehervar;Hungary;;101600;7;11;;;;Szekesfehervar,Hungary,101600,7,11,,,
São Luís;Brazil: Northeast;;1227659;2;36;X;;;São Luís,Brazil: Northeast,1227659,2,36,X,,
São Tomé;São Tomé and Príncipe;;83420;1;11;X;;;São Tomé,São Tomé and Príncipe,83420,1,11,X,,
Ta'if;Saudi Arabia;;530848;5;11;;;;Ta'if,Saudi Arabia,530848,5,11,,,
Ta`izz;Yemen;;615222;6;11;;;;Ta`izz,Yemen,615222,6,11,,,
Tabriz;Iran;;1378935;8;20;;;;Tabriz,Iran,1378935,8,20,,,
Tabuk;Saudi Arabia;;455450;7;11;;;;Tabuk,Saudi Arabia,455450,7,11,,,
Tacloban;Philippines;;242089;4;11;X;;;Tacloban,Philippines,242089,4,11,X,,
Taichung;Taiwan;;1040725;10;11;;;;Taichung,Taiwan,1040725,10,11,,,
Tainan;Taiwan;;771235;10;11;X;;;Tainan,Taiwan,771235,10,11,X,,
Taipei;Taiwan;;2622933;10;180;X;;;Taipei,Taiwan,2622933,10,180,X,,
Taitung City;Taiwan;;109584;9;11;X;;;Taitung City,Taiwan,109584,9,11,X,,
Taiyuan;China: Hebei;;5433659;6;69;;;;Taiyuan,China: Hebei,5433659,6,69,,,
Taiyuan Satellite Launch Center;China: Hebei;;1400000;4;20;;X;;Taiyuan Satellite Launch Center,China: Hebei,1400000,4,20,,X,
Takeo;Cambodia;;884321;3;11;;;;Takeo,Cambodia,884321,3,11,,,
Tallahassee;USA: Florida;USA;385145;3;12;;;;Tallahassee,USA: Florida,385145,3,12,,,
Tallinn;Estonia;;400911;7;34;X;;;Tallinn,Estonia,400911,7,34,X,,
Tamale;Ghana;;360000;3;15;;X;;Tamale,Ghana,360000,3,15,,X,
Tamanrasset;Algeria;;76000;4;11;;;;Tamanrasset,Algeria,76000,4,11,,,
Tampico;Mexico;;900000;4;20;X;;;Tampico,Mexico,900000,4,20,X,,
Tanegashima space center;Japan;;1400000;4;20;;X;;Tanegashima space center,Japan,1400000,4,20,,X,
Tangiers;Morocco;;947952;6;31;X;X;;Tangiers,Morocco,947952,6,31,X,X,
Taraz;Kazakhstan;;358138;5;11;;;;Taraz,Kazakhstan,358138,5,11,,,
Tardiff Mine;REE deposits Americas;;1;1;400;;;;Tardiff Mine,REE deposits Americas,1,1,400,,,
Tarija;Bolivia;;159269;6;11;;;;Tarija,Bolivia,159269,6,11,,,
Tartu;Estonia;;101092;6;11;;;;Tartu,Estonia,101092,6,11,,,
Tartus naval base;Russia: Central;;1000;2;11;X;;;Tartus naval base,Russia: Central,1000,2,11,X,,
Tashkent;Uzbekistan;;2267879;8;32;;;;Tashkent,Uzbekistan,2267879,8,32,,,
Tasiilaq;Denmark;;10000;4;11;;;;Tasiilaq,Denmark,10000,4,11,,,
Tataouine;Tunisia;;62577;6;11;;;;Tataouine,Tunisia,62577,6,11,,,
Tauranga;New Zealand;;161800;5;11;X;;;Tauranga,New Zealand,161800,5,11,X,,
Tawau;Malaysia;;306462;5;11;X;;;Tawau,Malaysia,306462,5,11,X,,
Tbilisi;Georgia;;1114000;8;110;;;;Tbilisi,Georgia,1114000,8,110,,,
Tebessa;Algeria;;634332;6;11;;;;Tebessa,Algeria,634332,6,11,,,
Tegucigalpa;Honduras;;894000;7;16;;;;Tegucigalpa,Honduras,894000,7,16,,,
Tehran;Iran;;7705036;10;177;;;;Tehran,Iran,7705036,10,177,,,
Tel Aviv;Israel;;4263745;10;58;X;X;;Tel Aviv,Israel,4263745,10,58,X,X,
Teluk Ambon;Indonesia;;347288;2;24;X;;;Teluk Ambon,Indonesia,347288,2,24,X,,
Tengah Air Base;Singapore;;3500;10;11;;;;Tengah Air Base,Singapore,3500,10,11,,,
Teresina;Brazil: Northeast;;893246;2;26;;X;;Teresina,Brazil: Northeast,893246,2,26,,X,
Thakhek;Laos;;85000;2;11;;;;Thakhek,Laos,85000,2,11,,,
The Lighthouse;Unknown;;3000;1;160;;;;The Lighthouse,Unknown,3000,1,160,,,
Thessaloniki & Kalamaria;Greece;;446537;6;14;X;;;Thessaloniki & Kalamaria,Greece,446537,6,14,X,,
Thimphu;Bhutan;;98676;2;10;;;;Thimphu,Bhutan,98676,2,10,,,
Thun;Switzerland;;42136;10;11;;;;Thun,Switzerland,42136,10,11,,,
Thunder Bay;Canada: Ontario;;123258;2;23;X;X;;Thunder Bay,Canada: Ontario,123258,2,23,X,X,
Tianjin;China: Hebei;;11165706;8;105;X;;;Tianjin,China: Hebei,11165706,8,105,X,,
Tifariti;Sahrawi Arab Democratic Republic;;4000;1;11;;;;Tifariti,Sahrawi Arab Democratic Republic,4000,1,11,,,
Tijuana;Mexico;;1300853;7;25;X;X;;Tijuana,Mexico,1300853,7,25,X,X,
Tikhvin;Russia: Novgorod;;58459;1;56;;X;;Tikhvin,Russia: Novgorod,58459,1,56,,X,
Timika;Indonesia;;142909;3;22;X;;;Timika,Indonesia,142909,3,22,X,,
Timisoara;Romania;;315053;8;11;;;;Timisoara,Romania,315053,8,11,,,
Tin Zaouatine;Algeria;;4157;4;11;;;;Tin Zaouatine,Algeria,4157,4,11,,,
Tirana;Albania;;374801;6;30;;;;Tirana,Albania,374801,6,30,,,
Tiraspol;Transnistria;;128600;4;11;;;;Tiraspol,Transnistria,128600,4,11,,,
Tirmiz;Uzbekistan;;140385;7;11;;;;Tirmiz,Uzbekistan,140385,7,11,,,
Titanic Shipwreck;Unknown;;1;1;40;;;;Titanic Shipwreck,Unknown,1,1,40,,,
Tobruk;Libya;;121052;3;11;;;;Tobruk,Libya,121052,3,11,,,
Tokara Islands;Japan;;648;1;5;X;;;Tokara Islands,Japan,648,1,5,X,,
Tokelau;New Zealand;;1411;3;18;X;;;Tokelau,New Zealand,1411,3,18,X,,
Tokyo;Japan;;12790000;8;458;X;;;Tokyo,Japan,12790000,8,458,X,,
Toliara;Madagascar;;168756;1;11;X;;;Toliara,Madagascar,168756,1,11,X,,
Tonghua city;China: Jilin;;1812302;5;11;;;;Tonghua city,China: Jilin,1812302,5,11,,,
Topeka;USA: Kansas;USA;233870;4;14;;;;Topeka,USA: Kansas,233870,4,14,,,
Toronto;Canada: Ontario;;6202225;6;81;X;;;Toronto,Canada: Ontario,6202225,6,81,X,,
Torreon;Mexico;;900000;4;19;;;;Torreon,Mexico,900000,4,19,,,
Toshima;Japan;;688;1;17;X;;;Toshima,Japan,688,1,17,X,,
Toulouse;France;;880000;6;35;;X;;Toulouse,France,880000,6,35,,X,
Transnistria Military base;Russia: Central;;500;2;11;;;;Transnistria Military base,Russia: Central,500,2,11,,,
Trenton;USA: New Jersey;USA;90871;3;183;;;;Trenton,USA: New Jersey,90871,3,183,,,
Trincomalee;Sri Lanka;;2450000;7;11;X;;;Trincomalee,Sri Lanka,2450000,7,11,X,,
Tripoli;Libya;;1170000;8;40;X;;;Tripoli,Libya,1170000,8,40,X,,
Tripoli;Lebanon;;229389;2;11;;;;Tripoli,Lebanon,229389,2,11,,,
Tristan da Cunha;United Kingdom;;264;2;16;X;;;Tristan da Cunha,United Kingdom,264,2,16,X,,
Tromso;Norway;;54070;8;8;X;;;Tromso,Norway,54070,8,8,X,,
Trondheim;Norway;;156794;8;21;X;;;Trondheim,Norway,156794,8,21,X,,
Tropico Island;Unknown;;500000;4;50;;;;Tropico Island,Unknown,500000,4,50,,,
Trujillo;Peru;;820000;5;23;X;;;Trujillo,Peru,820000,5,23,X,,
Tskhinvali;South-Ossetia;;32180;4;20;;;;Tskhinvali,South-Ossetia,32180,4,20,,,
Tuas Naval Base;Singapore;;3000;10;50;X;;;Tuas Naval Base,Singapore,3000,10,50,X,,
Tucson;USA: Arizona;USA;1043433;2;18;;;;Tucson,USA: Arizona,1043433,2,18,,,
Tunis;Tunisia;;4200000;9;47;X;;;Tunis,Tunisia,4200000,9,47,X,,
Turin;Italy;;900569;8;63;;X;;Turin,Italy,900569,8,63,,X,
Turkish military base Qatar;Türkiye;;5000;5;11;;;;Turkish military base Qatar,Türkiye,5000,5,11,,,
Turkish military bases;Türkiye;;5000;4;11;X;;;Turkish military bases,Türkiye,5000,4,11,X,,
Turkmenabat;Turkmenistan;;234187;4;11;;;;Turkmenabat,Turkmenistan,234187,4,11,,,
Turkmenbashi;Turkmenistan;;86800;2;23;X;;;Turkmenbashi,Turkmenistan,86800,2,23,X,,
Turks and Caicos Islands;United Kingdom;;55962;1;20;X;;;Turks and Caicos Islands,United Kingdom,55962,1,20,X,,
Turku;Finland;;175945;6;11;X;;;Turku,Finland,175945,6,11,X,,
Turpan;China: Xinjang;;633400;4;17;;X;;Turpan,China: Xinjang,633400,4,17,,X,
Tyneside;United Kingdom;;879996;6;27;X;X;;Tyneside,United Kingdom,879996,6,27,X,X,
Tábor;Czechia;;36264;10;11;;;;Tábor,Czechia,36264,10,11,,,
US Virgin Islands;USA: Virginia;USA;87146;1;11;X;;;US Virgin Islands,USA: Virginia,87146,1,11,X,,
Ubon Ratchathani;Thailand;;106602;8;33;;;;Ubon Ratchathani,Thailand,106602,8,33,,,
Udon Thani;Thailand;;130531;6;11;;;;Udon Thani,Thailand,130531,6,11,,,
Ufa;Russia: Volga;;1042437;3;46;X;;;Ufa,Russia: Volga,1042437,3,46,X,,
Uige;Angola;;60008;8;11;;;;Uige,Angola,60008,8,11,,,
Ulan Bator;Mongolia;;850623;10;17;;;;Ulan Bator,Mongolia,850623,10,17,,,
Ulsan;South Korea;;1166000;10;11;X;;;Ulsan,South Korea,1166000,10,11,X,,
Umea;Sweden;;75645;9;10;X;;;Umea,Sweden,75645,9,10,X,,
Unguja (Zanzibar);Tanzania;;350000;1;11;X;;;Unguja (Zanzibar),Tanzania,350000,1,11,X,,
Urganch;Uzbekistan;;15110;4;11;;;;Urganch,Uzbekistan,15110,4,11,,,
Urmia;Iran;;1000000;7;11;;;;Urmia,Iran,1000000,7,11,,,
Urup;Japan;;1;1;16;X;;;Urup,Japan,1,1,16,X,,
Usinsk;Russia: Komi Oblast;;40827;1;4;;X;;Usinsk,Russia: Komi Oblast,40827,1,4,,X,
Ust-Kamenogorsk;Kazakhstan;;319067;4;11;;;;Ust-Kamenogorsk,Kazakhstan,319067,4,11,,,
Utti Air Base;Finland;;1000;8;11;;;;Utti Air Base,Finland,1000,8,11,,,
Vaasa;Finland;;57014;4;11;X;;;Vaasa,Finland,57014,4,11,X,,
Vaduz;Liechtenstein;;5696;10;23;;;;Vaduz,Liechtenstein,5696,10,23,,,
Vaesteras;Sweden;;117746;6;11;;;;Vaesteras,Sweden,117746,6,11,,,
Vaitupu;Tuvalu;;1061;1;22;X;X;;Vaitupu,Tuvalu,1061,1,22,X,X,
Valencia;Spain;;2522383;8;42;X;;;Valencia,Spain,2522383,8,42,X,,
Valetta;Malta;;50000;1;42;X;X;;Valetta,Malta,50000,1,42,X,X,
Van;Türkiye;;525016;5;11;;;;Van,Türkiye,525016,5,11,,,
Vanadzor;Armenia;;101423;4;11;;;;Vanadzor,Armenia,101423,4,11,,,
Vancouver;Canada: British Columbia;;1747854;6;167;X;;;Vancouver,Canada: British Columbia,1747854,6,167,X,,
Vandenberg Air Force Base;USA: California;USA;2000;4;20;;X;;Vandenberg Air Force Base,USA: California,2000,4,20,,X,
